,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
72,SPX260320C06835000,2026-03-13 20:00:31+00:00,6835.0,12.42,10.6,11.9,-15.309999,-55.21096,31.0,4912.0,0.1939854161834717,False,REGULAR,USD,^SPX,6632.18994140625,7
73,SPX260320C06840000,2026-03-13 20:06:55+00:00,6840.0,10.5,9.8,11.0,-15.299999,-59.302322,327.0,5737.0,0.19255873367309573,False,REGULAR,USD,^SPX,6632.18994140625,7
74,SPX260320C06845000,2026-03-13 19:58:08+00:00,6845.0,10.2,9.0,10.2,-14.8,-59.2,46.0,5244.0,0.19142959457397463,False,REGULAR,USD,^SPX,6632.18994140625,7
75,SPXW260320C06850000,2026-03-13 20:14:42+00:00,6850.0,11.0,10.7,11.2,-15.0,-57.692307,4105.0,1540.0,0.19994391372680664,False,REGULAR,USD,^SPX,6632.18994140625,7
76,SPX260320C06855000,2026-03-13 20:02:47+00:00,6855.0,8.2,7.5,8.6,-13.3,-61.860466,458.0,8396.0,0.18840838455200193,False,REGULAR,USD,^SPX,6632.18994140625,7
77,SPX260320C06860000,2026-03-13 20:05:20+00:00,6860.0,7.3,6.8,7.9,-14.999999,-67.26457,178.0,6624.0,0.18709614181518558,False,REGULAR,USD,^SPX,6632.18994140625,7
78,SPX260320C06865000,2026-03-13 19:59:34+00:00,6865.0,7.1,6.2,7.3,-11.77,-62.374138,80.0,9547.0,0.18618062362670895,False,REGULAR,USD,^SPX,6632.18994140625,7
79,SPXW260320C06870000,2026-03-13 20:14:27+00:00,6870.0,7.8,7.6,8.1,-11.349999,-59.26893,806.0,343.0,0.19425244232177735,False,REGULAR,USD,^SPX,6632.18994140625,7
80,SPXW260320C06875000,2026-03-13 20:11:20+00:00,6875.0,7.17,7.0,7.4,-12.209999,-63.003094,671.0,788.0,0.19261976821899413,False,REGULAR,USD,^SPX,6632.18994140625,7
81,SPX260320C06880000,2026-03-13 19:59:07+00:00,6880.0,5.44,4.6,5.6,-9.959999,-64.675316,611.0,11843.0,0.18262536132812499,False,REGULAR,USD,^SPX,6632.18994140625,7
82,SPX260320C06885000,2026-03-13 19:59:07+00:00,6885.0,4.92,4.2,5.1,-9.58,-66.06896,384.0,9468.0,0.18140467041015623,False,REGULAR,USD,^SPX,6632.18994140625,7
83,SPX260320C06890000,2026-03-13 18:42:12+00:00,6890.0,5.53,3.7,4.6,-7.07,-56.11111,759.0,10753.0,0.1798940653991699,False,REGULAR,USD,^SPX,6632.18994140625,7
84,SPX260320C06895000,2026-03-13 18:04:17+00:00,6895.0,5.88,3.3,4.2,-6.42,-52.19512,532.0,5673.0,0.17896328857421873,False,REGULAR,USD,^SPX,6632.18994140625,7
85,SPX260320C06900000,2026-03-13 20:08:30+00:00,6900.0,3.2,3.0,3.8,-7.8,-70.909096,4334.0,88806.0,0.17777311492919923,False,REGULAR,USD,^SPX,6632.18994140625,7
86,SPX260320C06905000,2026-03-13 19:38:16+00:00,6905.0,3.7,2.7,3.5,-6.8,-64.76191,189.0,7610.0,0.17731535583496094,False,REGULAR,USD,^SPX,6632.18994140625,7
87,SPXW260320C06910000,2026-03-13 20:11:36+00:00,6910.0,3.55,3.5,3.9,-7.09,-66.63534,1052.0,1559.0,0.18387656951904296,False,REGULAR,USD,^SPX,6632.18994140625,7
88,SPXW260320C06915000,2026-03-13 20:03:02+00:00,6915.0,3.2,3.2,3.5,-7.16,-69.11197,326.0,1469.0,0.18235070587158203,False,REGULAR,USD,^SPX,6632.18994140625,7
89,SPXW260320C06920000,2026-03-13 20:07:09+00:00,6920.0,2.97,2.9,3.2,-6.7,-69.286446,2199.0,687.0,0.18160303268432615,False,REGULAR,USD,^SPX,6632.18994140625,7
90,SPXW260320C06925000,2026-03-13 20:04:22+00:00,6925.0,2.47,2.6,2.9,-6.3999996,-72.15332,4853.0,1682.0,0.18061122131347657,False,REGULAR,USD,^SPX,6632.18994140625,7
91,SPXW260320C06935000,2026-03-13 20:02:12+00:00,6935.0,2.15,2.1,2.35,-5.06,-70.180305,717.0,317.0,0.17841397766113282,False,REGULAR,USD,^SPX,6632.18994140625,7
92,SPXW260320C06940000,2026-03-13 20:09:59+00:00,6940.0,1.83,1.85,2.15,-4.82,-72.4812,662.0,944.0,0.1779257012939453,False,REGULAR,USD,^SPX,6632.18994140625,7
93,SPXW260320C06945000,2026-03-13 20:09:20+00:00,6945.0,1.65,1.7,1.95,-4.35,-72.5,593.0,383.0,0.17722380401611326,False,REGULAR,USD,^SPX,6632.18994140625,7
94,SPXW260320C06950000,2026-03-13 20:14:31+00:00,6950.0,1.55,1.5,1.75,-3.7900002,-70.973785,1685.0,2377.0,0.1762472512817383,False,REGULAR,USD,^SPX,6632.18994140625,7
95,SPXW260320C06960000,2026-03-13 20:14:24+00:00,6960.0,1.23,1.2,1.45,-3.12,-71.72414,825.0,2212.0,0.1753012158203125,False,REGULAR,USD,^SPX,6632.18994140625,7
96,SPXW260320C06965000,2026-03-13 19:53:48+00:00,6965.0,1.1,1.1,1.35,-2.85,-72.15189,569.0,295.0,0.17551483673095702,False,REGULAR,USD,^SPX,6632.18994140625,7
97,SPXW260320C06970000,2026-03-13 20:09:23+00:00,6970.0,1.0,0.95,1.2,-2.5,-71.42857,537.0,563.0,0.17450776672363283,False,REGULAR,USD,^SPX,6632.18994140625,7
98,SPXW260320C06980000,2026-03-13 20:06:54+00:00,6980.0,0.8,0.8,1.0,-2.0800002,-72.22223,860.0,900.0,0.17401949035644532,False,REGULAR,USD,^SPX,6632.18994140625,7
99,SPXW260320C06990000,2026-03-13 20:06:54+00:00,6990.0,0.65,0.65,0.85,-1.65,-71.73913,813.0,1168.0,0.17408052490234377,False,REGULAR,USD,^SPX,6632.18994140625,7
100,SPX260417C00200000,2026-03-13 13:50:02+00:00,200.0,6517.57,6409.3,6423.9,0.6098633,0.009358094,4.0,784.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,35
101,SPX260417C01000000,2026-02-05 15:39:18+00:00,1000.0,5790.24,5607.8,5631.8,0.0,0.0,10.0,841.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,35
102,SPX260417C04500000,2026-03-13 20:08:53+00:00,4500.0,2143.36,2126.7,2150.7,-71.21997,-3.215958,10.0,52.0,0.5959513061523438,True,REGULAR,USD,^SPX,6632.18994140625,35
103,SPX260417C04650000,2026-02-24 16:45:33+00:00,4650.0,2245.28,1978.4,2002.4,0.0,0.0,68.0,424.0,0.5713696427917481,True,REGULAR,USD,^SPX,6632.18994140625,35
104,SPX260417C04700000,2026-02-03 18:20:54+00:00,4700.0,2221.99,1929.0,1953.0,0.0,0.0,15.0,133.0,0.5626417027282715,True,REGULAR,USD,^SPX,6632.18994140625,35
105,SPX260417C04975000,2025-08-19 14:35:52+00:00,4975.0,1631.1,1788.4,1812.4,0.0,0.0,5.0,223.0,0.9435506743621825,True,REGULAR,USD,^SPX,6632.18994140625,35
106,SPXW260417C05000000,2026-03-12 14:16:21+00:00,5000.0,1740.32,1634.7,1658.7,0.0,0.0,5.0,67.0,0.51778131149292,True,REGULAR,USD,^SPX,6632.18994140625,35
107,SPX260417C05100000,2026-02-24 16:45:33+00:00,5100.0,1801.08,1534.8,1558.8,0.0,0.0,68.0,340.0,0.5513655703735353,True,REGULAR,USD,^SPX,6632.18994140625,35
108,SPX260417C05125000,2025-04-21 17:46:55+00:00,5125.0,530.5,1036.4,1046.2,0.0,0.0,825.0,825.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,35
109,SPX260417C05150000,2025-12-03 16:54:19+00:00,5150.0,1774.4,1848.1,1850.8,0.0,0.0,6.0,238.0,1.2870976807403562,True,REGULAR,USD,^SPX,6632.18994140625,35
110,SPX260417C05200000,2026-03-09 20:09:58+00:00,5200.0,1611.08,1441.6,1455.6,0.0,0.0,4.0,3644.0,0.5037891418457032,True,REGULAR,USD,^SPX,6632.18994140625,35
111,SPX260417C05225000,2025-04-29 14:06:47+00:00,5225.0,730.56,988.8,998.2,0.0,0.0,6.0,850.0,1.0000000000000003e-05,True,REGULAR,USD,^SPX,6632.18994140625,35
112,SPX260417C05300000,2026-03-06 19:07:11+00:00,5300.0,1488.43,1348.7,1352.5,0.0,0.0,4.0,952.0,0.4573571110534668,True,REGULAR,USD,^SPX,6632.18994140625,35
113,SPX260417C05375000,2025-10-03 16:07:26+00:00,5375.0,1524.66,1489.8,1495.9,0.0,0.0,415.0,1262.0,0.9362456021499632,True,REGULAR,USD,^SPX,6632.18994140625,35
114,SPX260417C05400000,2026-03-05 15:45:03+00:00,5400.0,1455.64,1251.1,1254.9,0.0,0.0,11.0,6237.0,0.43686476226806636,True,REGULAR,USD,^SPX,6632.18994140625,35
115,SPX260417C05425000,2025-12-03 20:59:06+00:00,5425.0,1525.12,1580.3,1583.6,0.0,0.0,3.0,243.0,1.1438526999473568,True,REGULAR,USD,^SPX,6632.18994140625,35
116,SPX260417C05450000,2026-02-20 13:41:59+00:00,5450.0,1428.46,1202.6,1206.3,0.0,0.0,400.0,989.0,0.4269161312866212,True,REGULAR,USD,^SPX,6632.18994140625,35
117,SPX260417C05475000,2025-12-30 20:15:30+00:00,5475.0,1492.7,1511.1,1516.3,0.0,0.0,3.0,200.0,1.0867355233764648,True,REGULAR,USD,^SPX,6632.18994140625,35
